Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	53	0	53	
25	40	25	40	
50	43	50	43	
75	44	75	44	
100	43	100	43	
125	38	125	38	
150	39	150	39	
175	53	175	53	
200	52	200	52	
225	133	225	133	
250	407	250	407	
275	656	275	656	
300	954	300	954	
325	1088	325	1088	
350	1405	350	1405	
375	1674	375	1674	
400	1784	400	1784	
425	2131	425	2131	
450	2233	450	2233	
475	2496	475	2496	
500	2693	500	2693	
525	2869	525	2869	
550	2979	550	2979	
575	3175	575	3175	
600	3281	600	3281	
625	3538	625	3538	
650	3738	650	3738	
675	3779	675	3779	
700	4024	700	4024	
725	3948	725	3948	
750	4270	750	4270	
775	4341	775	4341	
800	4580	800	4580	
825	4582	825	4582	
850	4888	850	4888	
875	4904	875	4904	
900	5036	900	5036	
925	5181	925	5181	
950	5196	950	5196	
975	5499	975	5499	
1000	5438	1000	5438	
1025	5623	1025	5623	
1050	5741	1050	5741	
1075	5784	1075	5784	
1100	5993	1100	5993	
1125	6192	1125	6192	
1150	6201	1150	6201	
1175	6290	1175	6290	
1200	6413	1200	6413	
1225	6573	1225	6573	
1250	6577	1250	6577	
1275	6586	1275	6586	
1300	6646	1300	6646	
1325	6788	1325	6788	
1350	6927	1350	6927	
1375	6846	1375	6846	
1400	7139	1400	7139	
1425	7079	1425	7079	
1450	7115	1450	7115	
1475	7309	1475	7309	
1500	7369	1500	7369	
1525	7354	1525	7354	
1550	7519	1550	7519	
1575	7618	1575	7618	
1600	7679	1600	7679	
1625	7743	1625	7743	
1650	7853	1650	7853	
1675	7895	1675	7895	
1700	7996	1700	7996	
1725	8025	1725	8025	
1750	8129	1750	8129	
1775	8219	1775	8219	
1800	8287	1800	8287	
1825	8461	1825	8461	
1850	8225	1850	8225	
1875	8501	1875	8501	
1900	8339	1900	8339	
1925	8482	1925	8482	
1950	8604	1950	8604	
1975	8713	1975	8713	
2000	8563	2000	8563	
2025	8453	2025	8453	
2050	8884	2050	8884	
2075	8629	2075	8629	
2100	8488	2100	8488	
2125	8806	2125	8806	
2150	8840	2150	8840	
2175	8970	2175	8970	
2200	9159	2200	9159	
2225	9069	2225	9069	
2250	9089	2250	9089	
2275	9226	2275	9226	
2300	9399	2300	9399	
2325	9318	2325	9318	
2350	9251	2350	9251	
2375	9150	2375	9150	
2400	9520	2400	9520	
2425	9328	2425	9328	
2450	9469	2450	9469	
2475	9581	2475	9581	
2500	9521	2500	9521	
2525	9595	2525	9595	
2550	9544	2550	9544	
2575	9886	2575	9886	
2600	9710	2600	9710	
2625	9681	2625	9681	
2650	9717	2650	9717	
2675	9775	2675	9775	
2700	9815	2700	9815	
2725	9899	2725	9899	
2750	9935	2750	9935	
2775	9908	2775	9908	
2800	9972	2800	9972	
2825	9971	2825	9971	
2850	10039	2850	10039	
2875	10010	2875	10010	
2900	9990	2900	9990	
2925	10073	2925	10073	
2950	10133	2950	10133	
2975	10143	2975	10143	
3000	10097	3000	10097	
3025	10181	3025	10181	
3050	10288	3050	10288	
3075	10413	3075	10413	
3100	10220	3100	10220	
3125	10327	3125	10327	
3150	10175	3150	10175	
3175	10249	3175	10249	
3200	10396	3200	10396	
3225	10188	3225	10188	
3250	10439	3250	10439	
3275	10393	3275	10393	
3300	10325	3300	10325	
3325	10668	3325	10668	
3350	10447	3350	10447	
3375	10532	3375	10532	
3400	10423	3400	10423	
3425	10440	3425	10440	
3450	10658	3450	10658	
3475	10533	3475	10533	
3500	10580	3500	10580	
3525	10585	3525	10585	
3550	10497	3550	10497	
3575	10553	3575	10553	
3600	10582	3600	10582	
3625	10735	3625	10735	
3650	10602	3650	10602	
3675	10679	3675	10679	
3700	10576	3700	10576	
3725	10823	3725	10823	
3750	10811	3750	10811	
3775	10871	3775	10871	
3800	10869	3800	10869	
3825	10934	3825	10934	
3850	10860	3850	10860	
3875	10884	3875	10884	
3900	10891	3900	10891	
3925	10856	3925	10856	
3950	10783	3950	10783	
3975	10926	3975	10926	
4000	10910	4000	10910	
4025	10922	4025	10922	
4050	10888	4050	10888	
4075	10911	4075	10911	
4100	10907	4100	10907	
4125	11261	4125	11261	
4150	11074	4150	11074	
4175	10980	4175	10980	
4200	11065	4200	11065	
4225	10993	4225	10993	
4250	10914	4250	10914	
4275	10937	4275	10937	
4300	11101	4300	11101	
4325	11037	4325	11037	
4350	11148	4350	11148	
4375	11170	4375	11170	
4400	11113	4400	11113	
4425	11161	4425	11161	
4450	11368	4450	11368	
4475	11257	4475	11257	
4500	11295	4500	11295	
4525	11324	4525	11324	
4550	11153	4550	11153	
4575	11228	4575	11228	
4600	11248	4600	11248	
4625	11210	4625	11210	
4650	11191	4650	11191	
4675	11142	4675	11142	
4700	11197	4700	11197	
4725	11366	4725	11366	
4750	11196	4750	11196	
4775	11268	4775	11268	
