Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	7	0	7	
25	7	25	7	
50	13	50	13	
75	13	75	13	
100	10	100	10	
125	10	125	10	
150	8	150	8	
175	15	175	15	
200	22	200	22	
225	230	225	230	
250	912	250	912	
275	1541	275	1541	
300	2180	300	2180	
325	2807	325	2807	
350	3387	350	3387	
375	3862	375	3862	
400	4468	400	4468	
425	4957	425	4957	
450	5386	450	5386	
475	5893	475	5893	
500	6453	500	6453	
525	6875	525	6875	
550	7173	550	7173	
575	7710	575	7710	
600	8143	600	8143	
625	8721	625	8721	
650	9055	650	9055	
675	9237	675	9237	
700	9570	700	9570	
725	9932	725	9932	
750	10390	750	10390	
775	10544	775	10544	
800	10911	800	10911	
825	11502	825	11502	
850	11845	850	11845	
875	11777	875	11777	
900	12215	900	12215	
925	12308	925	12308	
950	13117	950	13117	
975	13082	975	13082	
1000	13531	1000	13531	
1025	13698	1025	13698	
1050	13713	1050	13713	
1075	14261	1075	14261	
1100	14569	1100	14569	
1125	14611	1125	14611	
1150	14870	1150	14870	
1175	15202	1175	15202	
1200	15538	1200	15538	
1225	15689	1225	15689	
1250	15721	1250	15721	
1275	16230	1275	16230	
1300	16262	1300	16262	
1325	16634	1325	16634	
1350	16974	1350	16974	
1375	16912	1375	16912	
1400	17130	1400	17130	
1425	17379	1425	17379	
1450	17532	1450	17532	
1475	17833	1475	17833	
1500	17982	1500	17982	
1525	18190	1525	18190	
1550	18519	1550	18519	
1575	18398	1575	18398	
1600	18790	1600	18790	
1625	18904	1625	18904	
1650	18871	1650	18871	
1675	18992	1675	18992	
1700	19142	1700	19142	
1725	19469	1725	19469	
1750	19333	1750	19333	
1775	19661	1775	19661	
1800	19669	1800	19669	
1825	19933	1825	19933	
1850	20301	1850	20301	
1875	20122	1875	20122	
1900	20408	1900	20408	
1925	20632	1925	20632	
1950	20751	1950	20751	
1975	20557	1975	20557	
2000	20984	2000	20984	
2025	21030	2025	21030	
2050	20849	2050	20849	
2075	21537	2075	21537	
2100	21566	2100	21566	
2125	21659	2125	21659	
2150	21843	2150	21843	
2175	21806	2175	21806	
2200	21968	2200	21968	
2225	21813	2225	21813	
2250	22216	2250	22216	
2275	22179	2275	22179	
2300	22208	2300	22208	
2325	22375	2325	22375	
2350	22377	2350	22377	
2375	22631	2375	22631	
2400	22753	2400	22753	
2425	22926	2425	22926	
2450	22742	2450	22742	
2475	22793	2475	22793	
2500	23200	2500	23200	
2525	23093	2525	23093	
2550	23384	2550	23384	
2575	23258	2575	23258	
2600	23326	2600	23326	
2625	23344	2625	23344	
2650	23641	2650	23641	
2675	23737	2675	23737	
2700	23590	2700	23590	
2725	23759	2725	23759	
2750	23413	2750	23413	
2775	23996	2775	23996	
2800	24152	2800	24152	
2825	23808	2825	23808	
2850	24006	2850	24006	
2875	24098	2875	24098	
2900	24334	2900	24334	
2925	24467	2925	24467	
2950	24354	2950	24354	
2975	24465	2975	24465	
3000	24779	3000	24779	
3025	24667	3025	24667	
3050	24435	3050	24435	
3075	24634	3075	24634	
3100	24881	3100	24881	
3125	24898	3125	24898	
3150	24846	3150	24846	
3175	24797	3175	24797	
3200	25093	3200	25093	
3225	24696	3225	24696	
3250	25096	3250	25096	
3275	25165	3275	25165	
3300	25113	3300	25113	
3325	25285	3325	25285	
3350	25531	3350	25531	
3375	25403	3375	25403	
3400	25400	3400	25400	
3425	25355	3425	25355	
3450	25314	3450	25314	
3475	25472	3475	25472	
3500	25674	3500	25674	
3525	25568	3525	25568	
3550	25948	3550	25948	
3575	25901	3575	25901	
3600	25899	3600	25899	
3625	26011	3625	26011	
3650	25823	3650	25823	
3675	25776	3675	25776	
3700	25712	3700	25712	
3725	25696	3725	25696	
3750	25998	3750	25998	
3775	25939	3775	25939	
3800	26273	3800	26273	
3825	26000	3825	26000	
3850	26314	3850	26314	
3875	26081	3875	26081	
3900	26380	3900	26380	
3925	26347	3925	26347	
3950	25810	3950	25810	
3975	26527	3975	26527	
4000	26678	4000	26678	
4025	26573	4025	26573	
4050	26846	4050	26846	
4075	26483	4075	26483	
4100	26500	4100	26500	
4125	26708	4125	26708	
4150	26477	4150	26477	
4175	26633	4175	26633	
4200	26570	4200	26570	
4225	26686	4225	26686	
4250	26803	4250	26803	
4275	26826	4275	26826	
4300	26735	4300	26735	
4325	26768	4325	26768	
4350	26819	4350	26819	
4375	27073	4375	27073	
4400	26742	4400	26742	
4425	27054	4425	27054	
4450	27023	4450	27023	
4475	27086	4475	27086	
4500	26924	4500	26924	
4525	27109	4525	27109	
4550	26973	4550	26973	
4575	27204	4575	27204	
4600	27275	4600	27275	
4625	27071	4625	27071	
4650	27048	4650	27048	
4675	27386	4675	27386	
4700	27362	4700	27362	
4725	27330	4725	27330	
4750	27197	4750	27197	
4775	27085	4775	27085	
4800	27531	4800	27531	
4825	27459	4825	27459	
4850	27425	4850	27425	
4875	27245	4875	27245	
4900	27470	4900	27470	
4925	27318	4925	27318	
4950	27633	4950	27633	
4975	27342	4975	27342	
5000	27636	5000	27636	
5025	27409	5025	27409	
5050	27625	5050	27625	
5075	27352	5075	27352	
5100	27262	5100	27262	
5125	27487	5125	27487	
5150	27595	5150	27595	
5175	27494	5175	27494	
5200	27417	5200	27417	
5225	27482	5225	27482	
5250	27707	5250	27707	
5275	27496	5275	27496	
5300	27935	5300	27935	
5325	27838	5325	27838	
5350	27647	5350	27647	
5375	27593	5375	27593	
5400	27986	5400	27986	
5425	27893	5425	27893	
5450	27837	5450	27837	
5475	27835	5475	27835	
5500	28029	5500	28029	
5525	27798	5525	27798	
5550	27862	5550	27862	
5575	28023	5575	28023	
5600	28001	5600	28001	
5625	27872	5625	27872	
5650	27966	5650	27966	
5675	27996	5675	27996	
5700	27894	5700	27894	
5725	27971	5725	27971	
5750	27973	5750	27973	
5775	28010	5775	28010	
5800	28029	5800	28029	
5825	28116	5825	28116	
5850	28072	5850	28072	
5875	28085	5875	28085	
5900	27876	5900	27876	
5925	27801	5925	27801	
5950	28475	5950	28475	
5975	27986	5975	27986	
6000	27951	6000	27951	
6025	28175	6025	28175	
6050	28085	6050	28085	
6075	27996	6075	27996	
6100	27961	6100	27961	
6125	28107	6125	28107	
6150	27868	6150	27868	
6175	27875	6175	27875	
6200	27953	6200	27953	
6225	27975	6225	27975	
6250	28294	6250	28294	
6275	28127	6275	28127	
6300	28193	6300	28193	
6325	28396	6325	28396	
6350	27926	6350	27926	
6375	28095	6375	28095	
6400	28142	6400	28142	
6425	28203	6425	28203	
6450	28099	6450	28099	
6475	28094	6475	28094	
6500	28488	6500	28488	
6525	28229	6525	28229	
6550	28234	6550	28234	
6575	28045	6575	28045	
6600	28362	6600	28362	
6625	28468	6625	28468	
6650	28357	6650	28357	
6675	28092	6675	28092	
6700	28270	6700	28270	
6725	28378	6725	28378	
6750	28379	6750	28379	
6775	28435	6775	28435	
6800	28156	6800	28156	
6825	28262	6825	28262	
6850	28327	6850	28327	
