Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	2	0	2	
25	3	25	3	
50	5	50	5	
75	7	75	7	
100	9	100	9	
125	2	125	2	
150	7	150	7	
175	5	175	5	
200	11	200	11	
225	250	225	250	
250	1092	250	1092	
275	2000	275	2000	
300	2782	300	2782	
325	3596	325	3596	
350	4396	350	4396	
375	4997	375	4997	
400	5632	400	5632	
425	6337	425	6337	
450	7016	450	7016	
475	7652	475	7652	
500	8122	500	8122	
525	8750	525	8750	
550	9240	550	9240	
575	9864	575	9864	
600	10320	600	10320	
625	10913	625	10913	
650	11311	650	11311	
675	11687	675	11687	
700	12296	700	12296	
725	12682	725	12682	
750	13394	750	13394	
775	13696	775	13696	
800	14129	800	14129	
825	14348	825	14348	
850	14755	850	14755	
875	15094	875	15094	
900	15678	900	15678	
925	15868	925	15868	
950	16225	950	16225	
975	16487	975	16487	
1000	16869	1000	16869	
1025	17468	1025	17468	
1050	17797	1050	17797	
1075	18150	1075	18150	
1100	18299	1100	18299	
1125	18777	1125	18777	
1150	19068	1150	19068	
1175	19497	1175	19497	
1200	19472	1200	19472	
1225	19891	1225	19891	
1250	20131	1250	20131	
1275	20279	1275	20279	
1300	20769	1300	20769	
1325	21104	1325	21104	
1350	21325	1350	21325	
1375	21438	1375	21438	
1400	21748	1400	21748	
1425	22267	1425	22267	
1450	22184	1450	22184	
1475	22475	1475	22475	
1500	22722	1500	22722	
1525	23073	1525	23073	
1550	23211	1550	23211	
1575	23248	1575	23248	
1600	23413	1600	23413	
1625	23951	1625	23951	
1650	23996	1650	23996	
1675	24254	1675	24254	
1700	24427	1700	24427	
1725	24640	1725	24640	
1750	24846	1750	24846	
1775	24866	1775	24866	
1800	25321	1800	25321	
1825	25199	1825	25199	
1850	25483	1850	25483	
1875	25596	1875	25596	
1900	25894	1900	25894	
1925	25968	1925	25968	
1950	26449	1950	26449	
1975	26298	1975	26298	
2000	26550	2000	26550	
2025	26876	2025	26876	
2050	26753	2050	26753	
2075	26733	2075	26733	
2100	27185	2100	27185	
2125	27425	2125	27425	
2150	27361	2150	27361	
2175	27702	2175	27702	
2200	27627	2200	27627	
2225	27731	2225	27731	
2250	28147	2250	28147	
2275	28099	2275	28099	
2300	28244	2300	28244	
2325	28431	2325	28431	
2350	28261	2350	28261	
2375	28550	2375	28550	
2400	28602	2400	28602	
2425	28939	2425	28939	
2450	28953	2450	28953	
2475	28983	2475	28983	
2500	29239	2500	29239	
2525	29372	2525	29372	
2550	29631	2550	29631	
2575	29383	2575	29383	
2600	29692	2600	29692	
2625	29424	2625	29424	
2650	29750	2650	29750	
2675	29698	2675	29698	
2700	30023	2700	30023	
2725	30072	2725	30072	
2750	30205	2750	30205	
2775	29917	2775	29917	
2800	30175	2800	30175	
2825	30716	2825	30716	
2850	30506	2850	30506	
2875	30421	2875	30421	
2900	30895	2900	30895	
2925	30411	2925	30411	
2950	30678	2950	30678	
2975	30938	2975	30938	
3000	30892	3000	30892	
3025	31126	3025	31126	
3050	31319	3050	31319	
3075	31383	3075	31383	
3100	31448	3100	31448	
3125	31516	3125	31516	
3150	31592	3150	31592	
3175	31570	3175	31570	
3200	31920	3200	31920	
3225	31636	3225	31636	
3250	31563	3250	31563	
3275	32045	3275	32045	
3300	31347	3300	31347	
3325	32082	3325	32082	
3350	32171	3350	32171	
3375	32145	3375	32145	
3400	32014	3400	32014	
3425	32492	3425	32492	
3450	31958	3450	31958	
3475	32479	3475	32479	
3500	32334	3500	32334	
3525	32449	3525	32449	
3550	32847	3550	32847	
3575	32213	3575	32213	
3600	32445	3600	32445	
3625	32492	3625	32492	
3650	32587	3650	32587	
3675	32944	3675	32944	
3700	32558	3700	32558	
3725	32813	3725	32813	
3750	33032	3750	33032	
3775	32771	3775	32771	
3800	32906	3800	32906	
3825	32966	3825	32966	
3850	33090	3850	33090	
3875	33325	3875	33325	
3900	33027	3900	33027	
3925	33145	3925	33145	
3950	33477	3950	33477	
3975	33375	3975	33375	
4000	33437	4000	33437	
4025	33521	4025	33521	
4050	33444	4050	33444	
4075	33088	4075	33088	
4100	33616	4100	33616	
4125	33735	4125	33735	
4150	33772	4150	33772	
4175	33529	4175	33529	
4200	33461	4200	33461	
4225	34055	4225	34055	
4250	34033	4250	34033	
4275	34006	4275	34006	
4300	33606	4300	33606	
4325	33894	4325	33894	
4350	33743	4350	33743	
4375	34141	4375	34141	
4400	33941	4400	33941	
4425	34176	4425	34176	
4450	34317	4450	34317	
4475	34126	4475	34126	
4500	33926	4500	33926	
4525	34127	4525	34127	
4550	33862	4550	33862	
4575	34598	4575	34598	
4600	34206	4600	34206	
4625	33919	4625	33919	
4650	34311	4650	34311	
4675	34518	4675	34518	
4700	34542	4700	34542	
4725	34070	4725	34070	
4750	34604	4750	34604	
4775	34411	4775	34411	
4800	34454	4800	34454	
4825	34474	4825	34474	
4850	34472	4850	34472	
4875	34661	4875	34661	
4900	34497	4900	34497	
4925	34711	4925	34711	
4950	34666	4950	34666	
4975	34730	4975	34730	
5000	34223	5000	34223	
5025	34476	5025	34476	
5050	34420	5050	34420	
5075	34533	5075	34533	
5100	34914	5100	34914	
5125	35261	5125	35261	
5150	34717	5150	34717	
5175	34645	5175	34645	
5200	34874	5200	34874	
5225	34740	5225	34740	
5250	34554	5250	34554	
5275	35059	5275	35059	
5300	34698	5300	34698	
5325	35329	5325	35329	
5350	35049	5350	35049	
5375	35029	5375	35029	
5400	35087	5400	35087	
5425	34963	5425	34963	
5450	34986	5450	34986	
5475	35144	5475	35144	
5500	35020	5500	35020	
5525	35241	5525	35241	
5550	34925	5550	34925	
5575	35002	5575	35002	
5600	34977	5600	34977	
5625	35273	5625	35273	
5650	35129	5650	35129	
5675	34694	5675	34694	
5700	35166	5700	35166	
5725	34766	5725	34766	
5750	35377	5750	35377	
5775	35164	5775	35164	
5800	34892	5800	34892	
5825	35040	5825	35040	
5850	35088	5850	35088	
5875	35185	5875	35185	
5900	35165	5900	35165	
5925	35179	5925	35179	
5950	35676	5950	35676	
5975	35492	5975	35492	
6000	35387	6000	35387	
6025	35275	6025	35275	
6050	35663	6050	35663	
6075	35245	6075	35245	
6100	35446	6100	35446	
6125	35249	6125	35249	
6150	35552	6150	35552	
6175	35781	6175	35781	
6200	35079	6200	35079	
6225	35494	6225	35494	
6250	35346	6250	35346	
6275	35278	6275	35278	
6300	35697	6300	35697	
6325	35346	6325	35346	
6350	35696	6350	35696	
6375	35567	6375	35567	
6400	35780	6400	35780	
6425	35630	6425	35630	
