Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	3	0	3	
25	4	25	4	
50	6	50	6	
75	6	75	6	
100	4	100	4	
125	8	125	8	
150	5	150	5	
175	10	175	10	
200	11	200	11	
225	217	225	217	
250	862	250	862	
275	1544	275	1544	
300	2110	300	2110	
325	2798	325	2798	
350	3392	350	3392	
375	3950	375	3950	
400	4402	400	4402	
425	4909	425	4909	
450	5457	450	5457	
475	5863	475	5863	
500	6392	500	6392	
525	6712	525	6712	
550	7166	550	7166	
575	7613	575	7613	
600	7989	600	7989	
625	8606	625	8606	
650	8929	650	8929	
675	9205	675	9205	
700	9443	700	9443	
725	10082	725	10082	
750	10352	750	10352	
775	10545	775	10545	
800	10890	800	10890	
825	11261	825	11261	
850	11508	850	11508	
875	11733	875	11733	
900	12167	900	12167	
925	12338	925	12338	
950	12687	950	12687	
975	13034	975	13034	
1000	13163	1000	13163	
1025	13495	1025	13495	
1050	13702	1050	13702	
1075	13982	1075	13982	
1100	14285	1100	14285	
1125	14541	1125	14541	
1150	14885	1150	14885	
1175	15028	1175	15028	
1200	15134	1200	15134	
1225	15511	1225	15511	
1250	15580	1250	15580	
1275	15748	1275	15748	
1300	16159	1300	16159	
1325	16262	1325	16262	
1350	16725	1350	16725	
1375	16876	1375	16876	
1400	16678	1400	16678	
1425	17155	1425	17155	
1450	17119	1450	17119	
1475	17452	1475	17452	
1500	17771	1500	17771	
1525	17879	1525	17879	
1550	18111	1550	18111	
1575	17996	1575	17996	
1600	18401	1600	18401	
1625	18471	1625	18471	
1650	18470	1650	18470	
1675	18635	1675	18635	
1700	19212	1700	19212	
1725	19352	1725	19352	
1750	19169	1750	19169	
1775	19494	1775	19494	
1800	19837	1800	19837	
1825	19508	1825	19508	
1850	19947	1850	19947	
1875	19933	1875	19933	
1900	20169	1900	20169	
1925	20114	1925	20114	
1950	20162	1950	20162	
1975	20361	1975	20361	
2000	20706	2000	20706	
2025	20965	2025	20965	
2050	20685	2050	20685	
2075	21054	2075	21054	
2100	21398	2100	21398	
2125	21053	2125	21053	
2150	21317	2150	21317	
2175	21061	2175	21061	
2200	21566	2200	21566	
2225	21851	2225	21851	
2250	21593	2250	21593	
2275	21920	2275	21920	
2300	22208	2300	22208	
2325	21984	2325	21984	
2350	22322	2350	22322	
2375	22091	2375	22091	
2400	22068	2400	22068	
2425	22336	2425	22336	
2450	22230	2450	22230	
2475	22525	2475	22525	
2500	22609	2500	22609	
2525	22713	2525	22713	
2550	22673	2550	22673	
2575	22655	2575	22655	
2600	22845	2600	22845	
2625	22954	2625	22954	
2650	23049	2650	23049	
2675	23106	2675	23106	
2700	23324	2700	23324	
2725	22992	2725	22992	
2750	23629	2750	23629	
2775	23528	2775	23528	
2800	23486	2800	23486	
2825	23943	2825	23943	
2850	23663	2850	23663	
2875	23940	2875	23940	
2900	23691	2900	23691	
2925	24253	2925	24253	
2950	23794	2950	23794	
2975	23795	2975	23795	
3000	23853	3000	23853	
3025	24018	3025	24018	
3050	24313	3050	24313	
3075	24224	3075	24224	
3100	24746	3100	24746	
3125	24655	3125	24655	
3150	24273	3150	24273	
3175	24613	3175	24613	
3200	24694	3200	24694	
3225	24685	3225	24685	
3250	24366	3250	24366	
3275	24966	3275	24966	
3300	24781	3300	24781	
3325	24800	3325	24800	
3350	25010	3350	25010	
3375	25056	3375	25056	
3400	25124	3400	25124	
3425	25089	3425	25089	
3450	25076	3450	25076	
3475	25226	3475	25226	
3500	25019	3500	25019	
3525	25159	3525	25159	
3550	25308	3550	25308	
3575	25230	3575	25230	
3600	25535	3600	25535	
3625	25340	3625	25340	
3650	25269	3650	25269	
3675	25554	3675	25554	
3700	25312	3700	25312	
3725	25810	3725	25810	
3750	25445	3750	25445	
3775	25598	3775	25598	
3800	25738	3800	25738	
3825	25543	3825	25543	
3850	25831	3850	25831	
3875	25505	3875	25505	
3900	25713	3900	25713	
3925	25844	3925	25844	
3950	26089	3950	26089	
3975	25906	3975	25906	
4000	26025	4000	26025	
4025	25850	4025	25850	
4050	26061	4050	26061	
4075	26148	4075	26148	
