Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	2	0	2	
25	4	25	4	
50	5	50	5	
75	6	75	6	
100	4	100	4	
125	4	125	4	
150	2	150	2	
175	4	175	4	
200	9	200	9	
225	302	225	302	
250	1183	250	1183	
275	2082	275	2082	
300	3094	300	3094	
325	3922	325	3922	
350	4510	350	4510	
375	5335	375	5335	
400	6041	400	6041	
425	6786	425	6786	
450	7434	450	7434	
475	8083	475	8083	
500	8716	500	8716	
525	9290	525	9290	
550	10050	550	10050	
575	10555	575	10555	
600	11025	600	11025	
625	11661	625	11661	
650	11936	650	11936	
675	12531	675	12531	
700	12794	700	12794	
725	13559	725	13559	
750	13963	750	13963	
775	14452	775	14452	
800	15003	800	15003	
825	15172	825	15172	
850	15759	850	15759	
875	16272	875	16272	
900	16534	900	16534	
925	16820	925	16820	
950	17408	950	17408	
975	17669	975	17669	
1000	18018	1000	18018	
1025	18426	1025	18426	
1050	18503	1050	18503	
1075	19083	1075	19083	
1100	19219	1100	19219	
1125	19591	1125	19591	
1150	20067	1150	20067	
1175	20170	1175	20170	
1200	20564	1200	20564	
1225	20972	1225	20972	
1250	21380	1250	21380	
1275	21601	1275	21601	
1300	22008	1300	22008	
1325	22000	1325	22000	
1350	22696	1350	22696	
1375	22709	1375	22709	
1400	22849	1400	22849	
1425	23183	1425	23183	
1450	23507	1450	23507	
1475	23548	1475	23548	
1500	24104	1500	24104	
1525	24160	1525	24160	
1550	24205	1550	24205	
1575	24483	1575	24483	
1600	24741	1600	24741	
1625	24935	1625	24935	
1650	25186	1650	25186	
1675	25489	1675	25489	
1700	25972	1700	25972	
1725	25905	1725	25905	
1750	25996	1750	25996	
1775	26044	1775	26044	
1800	26664	1800	26664	
1825	26658	1825	26658	
1850	26593	1850	26593	
1875	26656	1875	26656	
1900	27319	1900	27319	
1925	27187	1925	27187	
1950	27491	1950	27491	
1975	27494	1975	27494	
2000	28315	2000	28315	
2025	28135	2025	28135	
2050	27956	2050	27956	
2075	28264	2075	28264	
2100	28367	2100	28367	
2125	28590	2125	28590	
2150	28706	2150	28706	
2175	28667	2175	28667	
2200	28707	2200	28707	
2225	29035	2225	29035	
2250	29384	2250	29384	
2275	29493	2275	29493	
2300	29506	2300	29506	
2325	29731	2325	29731	
2350	29418	2350	29418	
2375	29841	2375	29841	
2400	30041	2400	30041	
2425	29921	2425	29921	
2450	30121	2450	30121	
2475	30218	2475	30218	
2500	30591	2500	30591	
2525	30554	2525	30554	
2550	30536	2550	30536	
2575	30671	2575	30671	
2600	30618	2600	30618	
2625	30735	2625	30735	
2650	31072	2650	31072	
2675	31291	2675	31291	
2700	31497	2700	31497	
2725	31244	2725	31244	
2750	31064	2750	31064	
2775	31743	2775	31743	
2800	31660	2800	31660	
2825	31566	2825	31566	
2850	32133	2850	32133	
2875	32174	2875	32174	
2900	32138	2900	32138	
2925	31918	2925	31918	
2950	32021	2950	32021	
2975	32167	2975	32167	
3000	32451	3000	32451	
3025	32335	3025	32335	
3050	32086	3050	32086	
3075	32728	3075	32728	
3100	32692	3100	32692	
3125	32767	3125	32767	
3150	32354	3150	32354	
3175	32775	3175	32775	
3200	32700	3200	32700	
3225	33067	3225	33067	
3250	32820	3250	32820	
3275	33163	3275	33163	
3300	33289	3300	33289	
3325	33286	3325	33286	
3350	33126	3350	33126	
3375	33425	3375	33425	
3400	33454	3400	33454	
3425	33722	3425	33722	
3450	33785	3450	33785	
3475	33449	3475	33449	
3500	33634	3500	33634	
3525	33488	3525	33488	
3550	33984	3550	33984	
3575	33576	3575	33576	
3600	33816	3600	33816	
3625	33972	3625	33972	
3650	34139	3650	34139	
3675	34199	3675	34199	
3700	34168	3700	34168	
3725	34065	3725	34065	
3750	34344	3750	34344	
3775	33934	3775	33934	
3800	34079	3800	34079	
3825	34199	3825	34199	
3850	34397	3850	34397	
3875	34453	3875	34453	
3900	34283	3900	34283	
3925	34253	3925	34253	
3950	34816	3950	34816	
3975	34357	3975	34357	
4000	34805	4000	34805	
4025	34782	4025	34782	
4050	34710	4050	34710	
4075	34836	4075	34836	
4100	34983	4100	34983	
4125	34621	4125	34621	
4150	34646	4150	34646	
4175	35048	4175	35048	
4200	34678	4200	34678	
4225	34600	4225	34600	
4250	35036	4250	35036	
4275	35275	4275	35275	
4300	34807	4300	34807	
4325	35088	4325	35088	
4350	35274	4350	35274	
4375	35280	4375	35280	
4400	34820	4400	34820	
4425	35147	4425	35147	
4450	35452	4450	35452	
4475	35435	4475	35435	
4500	35113	4500	35113	
4525	35314	4525	35314	
4550	35713	4550	35713	
4575	35068	4575	35068	
4600	35839	4600	35839	
4625	35344	4625	35344	
4650	35275	4650	35275	
4675	35682	4675	35682	
4700	35388	4700	35388	
4725	35815	4725	35815	
4750	35759	4750	35759	
4775	35701	4775	35701	
4800	35643	4800	35643	
4825	35628	4825	35628	
4850	35793	4850	35793	
4875	35641	4875	35641	
4900	35487	4900	35487	
4925	35908	4925	35908	
4950	35430	4950	35430	
4975	35600	4975	35600	
5000	35598	5000	35598	
5025	36281	5025	36281	
5050	35733	5050	35733	
5075	36015	5075	36015	
5100	35834	5100	35834	
5125	35999	5125	35999	
5150	35998	5150	35998	
5175	35852	5175	35852	
5200	36000	5200	36000	
5225	35930	5225	35930	
5250	35980	5250	35980	
5275	36036	5275	36036	
5300	36087	5300	36087	
5325	36020	5325	36020	
5350	36168	5350	36168	
5375	36141	5375	36141	
5400	36416	5400	36416	
5425	36247	5425	36247	
5450	36607	5450	36607	
5475	35907	5475	35907	
5500	36323	5500	36323	
5525	36317	5525	36317	
5550	35950	5550	35950	
5575	36098	5575	36098	
5600	36280	5600	36280	
5625	36381	5625	36381	
5650	36336	5650	36336	
5675	36519	5675	36519	
5700	36203	5700	36203	
5725	36463	5725	36463	
5750	36593	5750	36593	
5775	36590	5775	36590	
5800	36019	5800	36019	
5825	36305	5825	36305	
5850	36609	5850	36609	
5875	36640	5875	36640	
5900	36326	5900	36326	
5925	36104	5925	36104	
5950	36744	5950	36744	
5975	36651	5975	36651	
6000	36445	6000	36445	
6025	36820	6025	36820	
6050	36779	6050	36779	
6075	36711	6075	36711	
6100	36524	6100	36524	
6125	36742	6125	36742	
6150	36493	6150	36493	
6175	36220	6175	36220	
6200	36768	6200	36768	
6225	36723	6225	36723	
6250	36555	6250	36555	
6275	36848	6275	36848	
6300	36441	6300	36441	
6325	36671	6325	36671	
6350	36643	6350	36643	
6375	36493	6375	36493	
6400	36480	6400	36480	
6425	36320	6425	36320	
6450	36596	6450	36596	
6475	36769	6475	36769	
6500	37068	6500	37068	
6525	36300	6525	36300	
6550	36846	6550	36846	
6575	36574	6575	36574	
6600	36927	6600	36927	
6625	36789	6625	36789	
6650	36566	6650	36566	
6675	36510	6675	36510	
6700	36687	6700	36687	
6725	36793	6725	36793	
6750	36679	6750	36679	
6775	36833	6775	36833	
6800	36576	6800	36576	
6825	36751	6825	36751	
