Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	2	0	2	
25	2	25	2	
50	4	50	4	
75	3	75	3	
100	4	100	4	
125	6	125	6	
150	3	150	3	
175	0	175	0	
200	34	200	34	
225	856	225	856	
250	3009	250	3009	
275	4583	275	4583	
300	6085	300	6085	
325	6830	325	6830	
350	7705	350	7705	
375	8785	375	8785	
400	9423	400	9423	
425	9943	425	9943	
450	10723	450	10723	
475	11035	475	11035	
500	11689	500	11689	
525	11883	525	11883	
550	12180	550	12180	
575	12572	575	12572	
600	13147	600	13147	
625	13311	625	13311	
650	13607	650	13607	
675	13899	675	13899	
700	14073	700	14073	
725	14303	725	14303	
750	14685	750	14685	
775	15111	775	15111	
800	15076	800	15076	
825	15466	825	15466	
850	15524	850	15524	
875	15514	875	15514	
900	15885	900	15885	
925	15972	925	15972	
950	16430	950	16430	
975	16597	975	16597	
1000	16553	1000	16553	
1025	16536	1025	16536	
1050	16750	1050	16750	
1075	16998	1075	16998	
1100	17014	1100	17014	
1125	17197	1125	17197	
1150	17441	1150	17441	
1175	17445	1175	17445	
1200	17464	1200	17464	
1225	17433	1225	17433	
1250	17636	1250	17636	
1275	17979	1275	17979	
1300	18064	1300	18064	
1325	18066	1325	18066	
1350	18201	1350	18201	
1375	18309	1375	18309	
1400	18255	1400	18255	
1425	18204	1425	18204	
1450	18473	1450	18473	
1475	18281	1475	18281	
1500	18750	1500	18750	
1525	18906	1525	18906	
1550	19130	1550	19130	
1575	18726	1575	18726	
1600	19047	1600	19047	
1625	19056	1625	19056	
1650	19222	1650	19222	
1675	19166	1675	19166	
1700	19054	1700	19054	
1725	19128	1725	19128	
1750	19390	1750	19390	
1775	19402	1775	19402	
1800	19547	1800	19547	
1825	19469	1825	19469	
1850	19366	1850	19366	
1875	19634	1875	19634	
1900	19852	1900	19852	
1925	19684	1925	19684	
1950	19756	1950	19756	
1975	19767	1975	19767	
2000	19964	2000	19964	
2025	19765	2025	19765	
2050	20090	2050	20090	
2075	19869	2075	19869	
2100	19991	2100	19991	
2125	19936	2125	19936	
2150	20322	2150	20322	
2175	20180	2175	20180	
2200	19962	2200	19962	
2225	20114	2225	20114	
2250	20226	2250	20226	
2275	20308	2275	20308	
2300	20435	2300	20435	
2325	20356	2325	20356	
2350	20462	2350	20462	
2375	20316	2375	20316	
2400	20444	2400	20444	
2425	20303	2425	20303	
2450	20450	2450	20450	
2475	20416	2475	20416	
2500	20508	2500	20508	
2525	20715	2525	20715	
2550	20593	2550	20593	
2575	20451	2575	20451	
2600	20753	2600	20753	
2625	20767	2625	20767	
2650	20768	2650	20768	
2675	21056	2675	21056	
