Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	179	0	179	
25	178	25	178	
50	176	50	176	
75	175	75	175	
100	166	100	166	
125	182	125	182	
150	185	150	185	
175	169	175	169	
200	200	200	200	
225	536	225	536	
250	1538	250	1538	
275	2417	275	2417	
300	2311	300	2311	
325	2146	325	2146	
350	2115	350	2115	
375	1980	375	1980	
400	2005	400	2005	
425	1835	425	1835	
450	1878	450	1878	
475	1784	475	1784	
500	1676	500	1676	
525	1716	525	1716	
550	1640	550	1640	
575	1583	575	1583	
600	1505	600	1505	
625	1537	625	1537	
650	1456	650	1456	
675	1383	675	1383	
700	1448	700	1448	
725	1385	725	1385	
750	1313	750	1313	
775	1361	775	1361	
800	1319	800	1319	
825	1236	825	1236	
850	1278	850	1278	
875	1212	875	1212	
900	1123	900	1123	
925	1177	925	1177	
950	1178	950	1178	
975	1070	975	1070	
1000	1090	1000	1090	
1025	1031	1025	1031	
1050	1040	1050	1040	
1075	1112	1075	1112	
1100	1050	1100	1050	
1125	998	1125	998	
1150	972	1150	972	
1175	980	1175	980	
1200	943	1200	943	
1225	946	1225	946	
1250	949	1250	949	
1275	944	1275	944	
1300	879	1300	879	
1325	869	1325	869	
1350	831	1350	831	
1375	877	1375	877	
1400	865	1400	865	
1425	779	1425	779	
1450	791	1450	791	
1475	814	1475	814	
1500	729	1500	729	
1525	808	1525	808	
1550	717	1550	717	
1575	763	1575	763	
1600	758	1600	758	
1625	773	1625	773	
1650	727	1650	727	
1675	661	1675	661	
1700	688	1700	688	
1725	713	1725	713	
1750	706	1750	706	
1775	636	1775	636	
1800	652	1800	652	
1825	650	1825	650	
1850	607	1850	607	
1875	638	1875	638	
1900	638	1900	638	
1925	621	1925	621	
1950	556	1950	556	
1975	660	1975	660	
2000	596	2000	596	
2025	602	2025	602	
2050	598	2050	598	
2075	593	2075	593	
2100	549	2100	549	
2125	578	2125	578	
2150	523	2150	523	
2175	583	2175	583	
2200	557	2200	557	
2225	531	2225	531	
2250	486	2250	486	
2275	551	2275	551	
2300	521	2300	521	
2325	546	2325	546	
2350	518	2350	518	
2375	500	2375	500	
2400	511	2400	511	
2425	489	2425	489	
2450	488	2450	488	
2475	473	2475	473	
2500	495	2500	495	
2525	491	2525	491	
2550	471	2550	471	
2575	497	2575	497	
2600	454	2600	454	
2625	492	2625	492	
2650	442	2650	442	
2675	428	2675	428	
2700	471	2700	471	
2725	458	2725	458	
2750	435	2750	435	
2775	417	2775	417	
2800	398	2800	398	
2825	394	2825	394	
2850	448	2850	448	
2875	401	2875	401	
2900	390	2900	390	
2925	426	2925	426	
2950	395	2950	395	
2975	394	2975	394	
3000	372	3000	372	
3025	395	3025	395	
3050	402	3050	402	
3075	393	3075	393	
3100	388	3100	388	
3125	392	3125	392	
3150	366	3150	366	
3175	365	3175	365	
3200	367	3200	367	
3225	357	3225	357	
3250	380	3250	380	
3275	359	3275	359	
3300	329	3300	329	
3325	355	3325	355	
3350	338	3350	338	
3375	359	3375	359	
3400	351	3400	351	
3425	348	3425	348	
3450	327	3450	327	
3475	305	3475	305	
3500	350	3500	350	
3525	319	3525	319	
3550	290	3550	290	
3575	320	3575	320	
3600	312	3600	312	
3625	332	3625	332	
3650	309	3650	309	
3675	341	3675	341	
3700	356	3700	356	
3725	304	3725	304	
3750	336	3750	336	
3775	338	3775	338	
3800	301	3800	301	
3825	274	3825	274	
3850	301	3850	301	
3875	278	3875	278	
3900	305	3900	305	
3925	304	3925	304	
3950	290	3950	290	
3975	323	3975	323	
4000	306	4000	306	
4025	305	4025	305	
4050	324	4050	324	
4075	280	4075	280	
4100	275	4100	275	
4125	266	4125	266	
4150	265	4150	265	
4175	299	4175	299	
4200	277	4200	277	
4225	293	4225	293	
4250	276	4250	276	
4275	278	4275	278	
4300	247	4300	247	
4325	267	4325	267	
4350	237	4350	237	
4375	270	4375	270	
4400	235	4400	235	
4425	297	4425	297	
4450	270	4450	270	
4475	300	4475	300	
4500	259	4500	259	
4525	249	4525	249	
4550	255	4550	255	
4575	260	4575	260	
4600	266	4600	266	
4625	263	4625	263	
4650	255	4650	255	
4675	270	4675	270	
4700	234	4700	234	
4725	264	4725	264	
4750	268	4750	268	
4775	261	4775	261	
4800	262	4800	262	
4825	256	4825	256	
4850	237	4850	237	
4875	250	4875	250	
4900	245	4900	245	
4925	254	4925	254	
4950	233	4950	233	
4975	239	4975	239	
5000	241	5000	241	
5025	232	5025	232	
5050	243	5050	243	
5075	244	5075	244	
5100	248	5100	248	
5125	243	5125	243	
5150	221	5150	221	
5175	267	5175	267	
5200	258	5200	258	
5225	223	5225	223	
5250	232	5250	232	
5275	234	5275	234	
5300	259	5300	259	
5325	201	5325	201	
5350	235	5350	235	
5375	213	5375	213	
5400	246	5400	246	
5425	247	5425	247	
5450	208	5450	208	
5475	229	5475	229	
5500	212	5500	212	
5525	225	5525	225	
5550	230	5550	230	
5575	227	5575	227	
5600	208	5600	208	
5625	226	5625	226	
5650	206	5650	206	
5675	257	5675	257	
5700	223	5700	223	
5725	237	5725	237	
5750	208	5750	208	
5775	203	5775	203	
5800	211	5800	211	
5825	217	5825	217	
5850	215	5850	215	
5875	225	5875	225	
5900	233	5900	233	
5925	199	5925	199	
5950	240	5950	240	
5975	199	5975	199	
6000	237	6000	237	
6025	221	6025	221	
6050	210	6050	210	
6075	218	6075	218	
6100	190	6100	190	
6125	190	6125	190	
6150	203	6150	203	
6175	207	6175	207	
6200	190	6200	190	
6225	222	6225	222	
6250	209	6250	209	
6275	199	6275	199	
6300	234	6300	234	
6325	209	6325	209	
6350	232	6350	232	
6375	189	6375	189	
6400	219	6400	219	
6425	216	6425	216	
6450	230	6450	230	
6475	261	6475	261	
6500	198	6500	198	
6525	199	6525	199	
6550	214	6550	214	
6575	210	6575	210	
6600	209	6600	209	
6625	217	6625	217	
6650	193	6650	193	
6675	196	6675	196	
6700	196	6700	196	
6725	230	6725	230	
6750	214	6750	214	
6775	205	6775	205	
6800	205	6800	205	
6825	203	6825	203	
6850	202	6850	202	
6875	193	6875	193	
6900	191	6900	191	
6925	214	6925	214	
6950	196	6950	196	
6975	188	6975	188	
7000	196	7000	196	
7025	204	7025	204	
7050	213	7050	213	
7075	202	7075	202	
7100	214	7100	214	
7125	200	7125	200	
7150	208	7150	208	
7175	176	7175	176	
7200	197	7200	197	
7225	187	7225	187	
7250	239	7250	239	
7275	198	7275	198	
7300	192	7300	192	
7325	185	7325	185	
7350	181	7350	181	
7375	210	7375	210	
7400	198	7400	198	
7425	218	7425	218	
7450	179	7450	179	
7475	181	7475	181	
7500	190	7500	190	
7525	197	7525	197	
7550	198	7550	198	
7575	211	7575	211	
7600	208	7600	208	
7625	160	7625	160	
7650	193	7650	193	
7675	193	7675	193	
7700	187	7700	187	
7725	209	7725	209	
7750	194	7750	194	
7775	177	7775	177	
7800	193	7800	193	
7825	177	7825	177	
7850	180	7850	180	
7875	185	7875	185	
7900	193	7900	193	
7925	196	7925	196	
7950	192	7950	192	
7975	173	7975	173	
8000	180	8000	180	
8025	221	8025	221	
8050	205	8050	205	
8075	176	8075	176	
8100	213	8100	213	
8125	228	8125	228	
8150	155	8150	155	
8175	172	8175	172	
8200	175	8200	175	
8225	178	8225	178	
8250	187	8250	187	
8275	181	8275	181	
8300	179	8300	179	
8325	173	8325	173	
8350	177	8350	177	
8375	188	8375	188	
8400	202	8400	202	
8425	183	8425	183	
