Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	21	0	21	
25	24	25	24	
50	19	50	19	
75	33	75	33	
100	26	100	26	
125	28	125	28	
150	29	150	29	
175	30	175	30	
200	33	200	33	
225	251	225	251	
250	916	250	916	
275	1396	275	1396	
300	1335	300	1335	
325	1280	325	1280	
350	1265	350	1265	
375	1120	375	1120	
400	1126	400	1126	
425	1114	425	1114	
450	1059	450	1059	
475	1048	475	1048	
500	983	500	983	
525	951	525	951	
550	946	550	946	
575	881	575	881	
600	912	600	912	
625	837	625	837	
650	848	650	848	
675	869	675	869	
700	841	700	841	
725	791	725	791	
750	757	750	757	
775	818	775	818	
800	726	800	726	
825	700	825	700	
850	729	850	729	
875	649	875	649	
900	667	900	667	
925	682	925	682	
950	607	950	607	
975	634	975	634	
1000	584	1000	584	
1025	594	1025	594	
1050	564	1050	564	
1075	543	1075	543	
1100	560	1100	560	
1125	524	1125	524	
1150	539	1150	539	
1175	482	1175	482	
1200	534	1200	534	
1225	485	1225	485	
1250	466	1250	466	
1275	487	1275	487	
1300	478	1300	478	
1325	485	1325	485	
1350	531	1350	531	
1375	464	1375	464	
1400	438	1400	438	
1425	384	1425	384	
1450	412	1450	412	
1475	389	1475	389	
1500	421	1500	421	
1525	426	1525	426	
1550	390	1550	390	
1575	377	1575	377	
1600	354	1600	354	
1625	353	1625	353	
1650	353	1650	353	
1675	361	1675	361	
1700	335	1700	335	
1725	362	1725	362	
1750	309	1750	309	
1775	333	1775	333	
1800	326	1800	326	
1825	346	1825	346	
1850	338	1850	338	
1875	321	1875	321	
1900	317	1900	317	
1925	301	1925	301	
1950	328	1950	328	
1975	328	1975	328	
2000	323	2000	323	
2025	266	2025	266	
2050	279	2050	279	
2075	282	2075	282	
2100	267	2100	267	
2125	265	2125	265	
2150	252	2150	252	
2175	268	2175	268	
2200	261	2200	261	
2225	254	2225	254	
2250	257	2250	257	
2275	239	2275	239	
2300	273	2300	273	
2325	238	2325	238	
2350	232	2350	232	
2375	241	2375	241	
2400	205	2400	205	
2425	218	2425	218	
2450	236	2450	236	
2475	221	2475	221	
2500	233	2500	233	
2525	211	2525	211	
2550	193	2550	193	
2575	179	2575	179	
2600	216	2600	216	
2625	192	2625	192	
2650	193	2650	193	
2675	191	2675	191	
2700	219	2700	219	
2725	187	2725	187	
2750	203	2750	203	
2775	189	2775	189	
2800	197	2800	197	
2825	180	2825	180	
2850	190	2850	190	
2875	167	2875	167	
2900	153	2900	153	
2925	183	2925	183	
2950	182	2950	182	
2975	145	2975	145	
3000	170	3000	170	
3025	160	3025	160	
3050	133	3050	133	
3075	159	3075	159	
3100	173	3100	173	
3125	154	3125	154	
3150	163	3150	163	
3175	147	3175	147	
3200	152	3200	152	
3225	144	3225	144	
3250	142	3250	142	
3275	153	3275	153	
3300	145	3300	145	
3325	130	3325	130	
3350	155	3350	155	
3375	138	3375	138	
3400	136	3400	136	
3425	141	3425	141	
3450	130	3450	130	
3475	108	3475	108	
3500	117	3500	117	
3525	128	3525	128	
3550	112	3550	112	
3575	137	3575	137	
3600	121	3600	121	
3625	111	3625	111	
3650	125	3650	125	
3675	113	3675	113	
3700	107	3700	107	
3725	114	3725	114	
3750	106	3750	106	
3775	132	3775	132	
3800	111	3800	111	
3825	118	3825	118	
3850	94	3850	94	
3875	113	3875	113	
3900	96	3900	96	
3925	109	3925	109	
3950	98	3950	98	
3975	97	3975	97	
4000	92	4000	92	
4025	112	4025	112	
4050	90	4050	90	
4075	103	4075	103	
4100	96	4100	96	
4125	98	4125	98	
4150	97	4150	97	
4175	92	4175	92	
4200	86	4200	86	
4225	73	4225	73	
4250	103	4250	103	
4275	78	4275	78	
4300	78	4300	78	
4325	83	4325	83	
4350	86	4350	86	
4375	77	4375	77	
4400	80	4400	80	
4425	66	4425	66	
4450	73	4450	73	
4475	75	4475	75	
4500	73	4500	73	
4525	84	4525	84	
4550	81	4550	81	
4575	83	4575	83	
4600	78	4600	78	
4625	83	4625	83	
4650	80	4650	80	
4675	80	4675	80	
4700	55	4700	55	
4725	84	4725	84	
4750	65	4750	65	
4775	68	4775	68	
4800	72	4800	72	
4825	76	4825	76	
4850	67	4850	67	
4875	62	4875	62	
4900	76	4900	76	
4925	62	4925	62	
4950	60	4950	60	
4975	70	4975	70	
5000	76	5000	76	
5025	76	5025	76	
5050	69	5050	69	
5075	74	5075	74	
5100	48	5100	48	
5125	66	5125	66	
5150	54	5150	54	
5175	73	5175	73	
5200	73	5200	73	
5225	63	5225	63	
5250	68	5250	68	
5275	62	5275	62	
5300	64	5300	64	
5325	60	5325	60	
5350	51	5350	51	
5375	69	5375	69	
5400	53	5400	53	
5425	50	5425	50	
5450	78	5450	78	
5475	58	5475	58	
5500	56	5500	56	
5525	69	5525	69	
5550	44	5550	44	
5575	53	5575	53	
5600	57	5600	57	
5625	63	5625	63	
5650	44	5650	44	
5675	56	5675	56	
5700	44	5700	44	
5725	53	5725	53	
5750	60	5750	60	
5775	43	5775	43	
5800	50	5800	50	
5825	48	5825	48	
5850	46	5850	46	
5875	56	5875	56	
