Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	7	0	7	
25	11	25	11	
50	6	50	6	
75	1	75	1	
100	10	100	10	
125	9	125	9	
150	8	150	8	
175	3	175	3	
200	26	200	26	
225	474	225	474	
250	1949	250	1949	
275	3029	275	3029	
300	2948	300	2948	
325	2751	325	2751	
350	2687	350	2687	
375	2602	375	2602	
400	2367	400	2367	
425	2319	425	2319	
450	2272	450	2272	
475	2080	475	2080	
500	2115	500	2115	
525	2120	525	2120	
550	1963	550	1963	
575	1929	575	1929	
600	1862	600	1862	
625	1836	625	1836	
650	1746	650	1746	
675	1712	675	1712	
700	1749	700	1749	
725	1582	725	1582	
750	1602	750	1602	
775	1556	775	1556	
800	1558	800	1558	
825	1547	825	1547	
850	1475	850	1475	
875	1378	875	1378	
900	1343	900	1343	
925	1386	925	1386	
950	1353	950	1353	
975	1285	975	1285	
1000	1225	1000	1225	
1025	1229	1025	1229	
1050	1246	1050	1246	
1075	1153	1075	1153	
1100	1131	1100	1131	
1125	1112	1125	1112	
1150	1100	1150	1100	
1175	1075	1175	1075	
1200	1043	1200	1043	
1225	1054	1225	1054	
1250	1058	1250	1058	
1275	1040	1275	1040	
1300	1001	1300	1001	
1325	919	1325	919	
1350	910	1350	910	
1375	897	1375	897	
1400	913	1400	913	
1425	858	1425	858	
1450	858	1450	858	
1475	865	1475	865	
1500	792	1500	792	
1525	834	1525	834	
1550	799	1550	799	
1575	779	1575	779	
1600	813	1600	813	
1625	756	1625	756	
1650	719	1650	719	
1675	732	1675	732	
1700	674	1700	674	
1725	700	1725	700	
1750	699	1750	699	
1775	602	1775	602	
1800	674	1800	674	
1825	612	1825	612	
1850	594	1850	594	
1875	616	1875	616	
1900	625	1900	625	
1925	564	1925	564	
1950	598	1950	598	
1975	587	1975	587	
2000	573	2000	573	
2025	545	2025	545	
2050	531	2050	531	
2075	573	2075	573	
2100	521	2100	521	
2125	550	2125	550	
