Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	4	0	4	
25	2	25	2	
50	5	50	5	
75	3	75	3	
100	2	100	2	
125	10	125	10	
150	4	150	4	
175	4	175	4	
200	22	200	22	
225	543	225	543	
250	2058	250	2058	
275	3325	275	3325	
300	3291	300	3291	
325	3023	325	3023	
350	2956	350	2956	
375	2809	375	2809	
400	2713	400	2713	
425	2626	425	2626	
450	2475	450	2475	
475	2393	475	2393	
500	2374	500	2374	
525	2234	525	2234	
550	2213	550	2213	
575	2212	575	2212	
600	2062	600	2062	
625	2077	625	2077	
650	1897	650	1897	
675	1894	675	1894	
700	1854	700	1854	
725	1812	725	1812	
750	1739	750	1739	
775	1724	775	1724	
800	1726	800	1726	
825	1660	825	1660	
850	1577	850	1577	
875	1537	875	1537	
900	1510	900	1510	
925	1484	925	1484	
950	1433	950	1433	
975	1415	975	1415	
1000	1420	1000	1420	
1025	1360	1025	1360	
1050	1309	1050	1309	
1075	1295	1075	1295	
1100	1306	1100	1306	
1125	1279	1125	1279	
1150	1220	1150	1220	
1175	1163	1175	1163	
1200	1226	1200	1226	
1225	1147	1225	1147	
1250	1094	1250	1094	
1275	1110	1275	1110	
1300	1087	1300	1087	
1325	1074	1325	1074	
1350	1107	1350	1107	
1375	1030	1375	1030	
1400	990	1400	990	
1425	956	1425	956	
1450	953	1450	953	
1475	948	1475	948	
1500	888	1500	888	
1525	911	1525	911	
1550	883	1550	883	
1575	900	1575	900	
1600	842	1600	842	
1625	832	1625	832	
1650	827	1650	827	
1675	813	1675	813	
1700	754	1700	754	
1725	755	1725	755	
1750	762	1750	762	
1775	735	1775	735	
1800	742	1800	742	
1825	670	1825	670	
1850	701	1850	701	
1875	628	1875	628	
1900	672	1900	672	
1925	668	1925	668	
1950	654	1950	654	
1975	614	1975	614	
2000	614	2000	614	
2025	631	2025	631	
2050	615	2050	615	
2075	576	2075	576	
2100	620	2100	620	
2125	519	2125	519	
2150	556	2150	556	
2175	575	2175	575	
2200	482	2200	482	
2225	521	2225	521	
2250	513	2250	513	
2275	480	2275	480	
2300	514	2300	514	
2325	501	2325	501	
2350	457	2350	457	
2375	521	2375	521	
2400	491	2400	491	
2425	454	2425	454	
2450	451	2450	451	
2475	420	2475	420	
2500	447	2500	447	
2525	370	2525	370	
2550	441	2550	441	
2575	402	2575	402	
2600	396	2600	396	
2625	397	2625	397	
2650	418	2650	418	
2675	408	2675	408	
2700	406	2700	406	
2725	392	2725	392	
2750	361	2750	361	
2775	339	2775	339	
2800	369	2800	369	
2825	353	2825	353	
2850	341	2850	341	
2875	331	2875	331	
2900	344	2900	344	
2925	347	2925	347	
2950	306	2950	306	
2975	332	2975	332	
3000	309	3000	309	
3025	309	3025	309	
3050	309	3050	309	
3075	295	3075	295	
3100	310	3100	310	
3125	310	3125	310	
3150	319	3150	319	
3175	297	3175	297	
3200	268	3200	268	
3225	279	3225	279	
3250	257	3250	257	
3275	296	3275	296	
3300	253	3300	253	
3325	237	3325	237	
3350	255	3350	255	
3375	249	3375	249	
3400	245	3400	245	
3425	233	3425	233	
3450	249	3450	249	
3475	243	3475	243	
3500	252	3500	252	
3525	206	3525	206	
3550	228	3550	228	
3575	225	3575	225	
3600	209	3600	209	
