Laser duration (ns) - Raw	Counts - Raw	Laser duration (ns) - Filtered	Counts - Filtered	
0	2	0	2	
25	5	25	5	
50	6	50	6	
75	4	75	4	
100	6	100	6	
125	4	125	4	
150	2	150	2	
175	3	175	3	
200	27	200	27	
225	687	225	687	
250	2649	250	2649	
275	4202	275	4202	
300	4015	300	4015	
325	3781	325	3781	
350	3637	350	3637	
375	3514	375	3514	
400	3402	400	3402	
425	3244	425	3244	
450	3029	450	3029	
475	2983	475	2983	
500	2941	500	2941	
525	2848	525	2848	
550	2743	550	2743	
575	2593	575	2593	
600	2447	600	2447	
625	2565	625	2565	
650	2325	650	2325	
675	2423	675	2423	
700	2335	700	2335	
725	2274	725	2274	
750	2240	750	2240	
775	2081	775	2081	
800	2015	800	2015	
825	2009	825	2009	
850	2039	850	2039	
875	1924	875	1924	
900	1846	900	1846	
925	1839	925	1839	
950	1862	950	1862	
975	1739	975	1739	
1000	1694	1000	1694	
1025	1734	1025	1734	
1050	1671	1050	1671	
1075	1596	1075	1596	
1100	1580	1100	1580	
1125	1510	1125	1510	
1150	1474	1150	1474	
1175	1454	1175	1454	
1200	1438	1200	1438	
1225	1449	1225	1449	
1250	1384	1250	1384	
1275	1388	1275	1388	
1300	1330	1300	1330	
1325	1285	1325	1285	
1350	1304	1350	1304	
1375	1227	1375	1227	
1400	1255	1400	1255	
1425	1206	1425	1206	
1450	1183	1450	1183	
1475	1164	1475	1164	
1500	1166	1500	1166	
1525	1104	1525	1104	
1550	1161	1550	1161	
1575	1075	1575	1075	
1600	1116	1600	1116	
1625	1000	1625	1000	
1650	992	1650	992	
1675	934	1675	934	
1700	953	1700	953	
1725	951	1725	951	
1750	935	1750	935	
1775	922	1775	922	
1800	893	1800	893	
1825	898	1825	898	
1850	823	1850	823	
1875	836	1875	836	
1900	817	1900	817	
1925	852	1925	852	
1950	803	1950	803	
1975	817	1975	817	
2000	858	2000	858	
2025	749	2025	749	
2050	761	2050	761	
2075	732	2075	732	
2100	735	2100	735	
2125	746	2125	746	
2150	689	2150	689	
2175	640	2175	640	
2200	655	2200	655	
2225	678	2225	678	
2250	608	2250	608	
2275	649	2275	649	
2300	692	2300	692	
2325	579	2325	579	
2350	610	2350	610	
2375	576	2375	576	
2400	616	2400	616	
2425	576	2425	576	
2450	593	2450	593	
2475	611	2475	611	
2500	578	2500	578	
2525	568	2525	568	
2550	538	2550	538	
2575	494	2575	494	
2600	524	2600	524	
2625	504	2625	504	
2650	504	2650	504	
2675	519	2675	519	
2700	525	2700	525	
2725	465	2725	465	
2750	445	2750	445	
2775	446	2775	446	
2800	454	2800	454	
2825	459	2825	459	
2850	411	2850	411	
2875	452	2875	452	
2900	425	2900	425	
2925	404	2925	404	
2950	406	2950	406	
2975	391	2975	391	
3000	416	3000	416	
3025	388	3025	388	
3050	392	3050	392	
3075	353	3075	353	
3100	396	3100	396	
3125	368	3125	368	
3150	352	3150	352	
3175	350	3175	350	
3200	348	3200	348	
3225	341	3225	341	
3250	315	3250	315	
3275	323	3275	323	
3300	334	3300	334	
3325	329	3325	329	
3350	309	3350	309	
3375	326	3375	326	
3400	322	3400	322	
3425	292	3425	292	
3450	317	3450	317	
3475	301	3475	301	
3500	280	3500	280	
3525	276	3525	276	
3550	311	3550	311	
3575	247	3575	247	
3600	264	3600	264	
3625	266	3625	266	
3650	260	3650	260	
3675	276	3675	276	
3700	279	3700	279	
3725	239	3725	239	
3750	262	3750	262	
3775	237	3775	237	
3800	246	3800	246	
3825	251	3825	251	
3850	213	3850	213	
3875	235	3875	235	
3900	203	3900	203	
3925	203	3925	203	
3950	231	3950	231	
3975	228	3975	228	
4000	226	4000	226	
4025	211	4025	211	
4050	218	4050	218	
4075	200	4075	200	
4100	227	4100	227	
4125	202	4125	202	
4150	208	4150	208	
4175	196	4175	196	
4200	192	4200	192	
4225	204	4225	204	
4250	173	4250	173	
4275	190	4275	190	
4300	161	4300	161	
4325	182	4325	182	
4350	182	4350	182	
4375	155	4375	155	
4400	169	4400	169	
4425	164	4425	164	
4450	171	4450	171	
4475	164	4475	164	
4500	159	4500	159	
4525	174	4525	174	
4550	159	4550	159	
4575	137	4575	137	
4600	146	4600	146	
4625	170	4625	170	
4650	148	4650	148	
4675	144	4675	144	
4700	137	4700	137	
4725	134	4725	134	
4750	130	4750	130	
4775	154	4775	154	
4800	150	4800	150	
4825	136	4825	136	
4850	121	4850	121	
4875	147	4875	147	
4900	123	4900	123	
4925	123	4925	123	
4950	123	4950	123	
4975	114	4975	114	
5000	104	5000	104	
5025	121	5025	121	
5050	123	5050	123	
5075	104	5075	104	
5100	109	5100	109	
5125	109	5125	109	
5150	109	5150	109	
5175	108	5175	108	
5200	112	5200	112	
5225	97	5225	97	
5250	97	5250	97	
5275	79	5275	79	
5300	89	5300	89	
5325	90	5325	90	
5350	108	5350	108	
5375	93	5375	93	
5400	90	5400	90	
5425	120	5425	120	
5450	88	5450	88	
5475	83	5475	83	
5500	76	5500	76	
5525	72	5525	72	
5550	95	5550	95	
5575	86	5575	86	
5600	85	5600	85	
5625	87	5625	87	
5650	88	5650	88	
5675	94	5675	94	
5700	88	5700	88	
5725	85	5725	85	
5750	80	5750	80	
5775	71	5775	71	
5800	96	5800	96	
5825	70	5825	70	
5850	101	5850	101	
5875	73	5875	73	
5900	67	5900	67	
5925	71	5925	71	
5950	70	5950	70	
5975	67	5975	67	
6000	76	6000	76	
6025	53	6025	53	
6050	74	6050	74	
6075	82	6075	82	
6100	77	6100	77	
6125	71	6125	71	
6150	54	6150	54	
6175	69	6175	69	
6200	70	6200	70	
6225	51	6225	51	
6250	74	6250	74	
6275	60	6275	60	
6300	72	6300	72	
6325	65	6325	65	
6350	47	6350	47	
6375	66	6375	66	
6400	62	6400	62	
6425	60	6425	60	
6450	63	6450	63	
6475	62	6475	62	
6500	55	6500	55	
6525	52	6525	52	
6550	56	6550	56	
6575	52	6575	52	
6600	53	6600	53	
6625	61	6625	61	
6650	59	6650	59	
6675	55	6675	55	
6700	50	6700	50	
6725	44	6725	44	
6750	44	6750	44	
6775	51	6775	51	
6800	45	6800	45	
6825	32	6825	32	
6850	52	6850	52	
6875	49	6875	49	
